Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Redistributive effect - Market to disposable,No sharing,Gini points,Age 45-49,693,330000,0,6.79,1.07,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 50-54,627,317000,0,7.45,1.12,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 55-59,633,314000,0,6.55,1.19,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 60-64,558,270000,0,8.39,2.05,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 65-69,513,233000,0,25.77,2.79,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 70-74,426,190000,0,36.05,3.9,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 75-79,339,125000,0,43.62,3.82,
Redistributive effect - Market to disposable,No sharing,Gini points,Age 80+,312,157000,0,50.75,3.81,
Single-member families,Not applicable,Families,Principal Age 0-4,,,,,,Not applicable
Single-member families,Not applicable,Families,Principal Age 5-9,,,,,,Not applicable
Single-member families,Not applicable,Families,Principal Age 10-14,,,,,,Not applicable
Single-member families,Not applicable,Families,Principal Age 15-19,216,119000,13000,119000,13000,
Single-member families,Not applicable,Families,Principal Age 20-24,366,248000,13000,248000,13000,
Single-member families,Not applicable,Families,Principal Age 25-29,225,150000,15000,150000,15000,
Single-member families,Not applicable,Families,Principal Age 30-34,135,79000,11000,79000,11000,
Single-member families,Not applicable,Families,Principal Age 35-39,114,63000,10000,63000,10000,
Single-member families,Not applicable,Families,Principal Age 40-44,90,47000,9000,47000,9000,
Single-member families,Not applicable,Families,Principal Age 45-49,132,58000,9000,58000,9000,
Single-member families,Not applicable,Families,Principal Age 50-54,129,62000,10000,62000,10000,
Single-member families,Not applicable,Families,Principal Age 55-59,174,76000,11000,76000,11000,
Single-member families,Not applicable,Families,Principal Age 60-64,192,85000,10000,85000,10000,
Single-member families,Not applicable,Families,Principal Age 65-69,168,71000,9000,71000,9000,
Single-member families,Not applicable,Families,Principal Age 70-74,135,52000,9000,52000,9000,
Single-member families,Not applicable,Families,Principal Age 75-79,120,39000,7000,39000,7000,
Single-member families,Not applicable,Families,Principal Age 80+,174,81000,8000,81000,8000,
Sole Parent Support recipients,Not applicable,Percent,Age 15-19,561,305000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 20-24,519,332000,0,3.3,1.4,NB - Sampling error is 21-50% of point estimate
Sole Parent Support recipients,Not applicable,Percent,Age 25-29,642,367000,0,4.6,1.5,NB - Sampling error is 21-50% of point estimate
Sole Parent Support recipients,Not applicable,Percent,Age 30-34,708,338000,0,3.8,1.6,NB - Sampling error is 21-50% of point estimate
Sole Parent Support recipients,Not applicable,Percent,Age 35-39,681,310000,0,3.9,1.5,NB - Sampling error is 21-50% of point estimate
Sole Parent Support recipients,Not applicable,Percent,Age 40-44,630,299000,0,3.3,1.5,NB - Sampling error is 21-50% of point estimate
Sole Parent Support recipients,Not applicable,Percent,Age 45-49,693,330000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 50-54,627,317000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 55-59,633,314000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 60-64,558,270000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 65-69,513,233000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 70-74,426,190000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 75-79,339,125000,0,,,Suppressed
Sole Parent Support recipients,Not applicable,Percent,Age 80+,312,157000,0,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 0-4,,,,,,Not applicable
Sole-parent families,Not applicable,Families,Principal Age 5-9,,,,,,Not applicable
Sole-parent families,Not applicable,Families,Principal Age 10-14,,,,,,Not applicable
Sole-parent families,Not applicable,Families,Principal Age 15-19,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 20-24,21,12000,5000,12000,5000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 25-29,45,23000,6000,23000,6000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 30-34,45,17000,6000,17000,6000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 35-39,54,23000,6000,23000,6000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 40-44,72,29000,6000,29000,6000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 45-49,51,14000,5000,14000,5000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 50-54,33,13000,5000,13000,5000,NB - Sampling error is 21-50% of point estimate
Sole-parent families,Not applicable,Families,Principal Age 55-59,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 60-64,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 65-69,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 70-74,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 75-79,,,,,,Suppressed
Sole-parent families,Not applicable,Families,Principal Age 80+,,,,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 15-19,561,305000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 20-24,519,332000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 25-29,642,367000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 30-34,708,338000,0,4.1,1.8,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 35-39,681,310000,0,2.6,1.2,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 40-44,630,299000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 45-49,693,330000,0,3.6,1.5,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 50-54,627,317000,0,4.1,1.8,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 55-59,633,314000,0,4.1,1.4,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 60-64,558,270000,0,8.5,2.1,NB - Sampling error is 21-50% of point estimate
Supported Living Payment recipients,Not applicable,Percent,Age 65-69,513,233000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 70-74,426,190000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 75-79,339,125000,0,,,Suppressed
Supported Living Payment recipients,Not applicable,Percent,Age 80+,312,157000,0,,,Suppressed
